issue_month,loan_count,default_count,default_rate
2007-06,4,3,0.75
2007-07,37,7,0.1892
2007-08,46,20,0.4348
2007-09,28,13,0.4643
2007-10,71,34,0.4789
2007-11,64,34,0.5312
2007-12,114,47,0.4123
2008-01,224,84,0.375
2008-02,210,61,0.2905
2008-03,285,89,0.3123
2008-04,191,63,0.3298
2008-05,86,25,0.2907
2008-06,81,22,0.2716
2008-07,96,30,0.3125
2008-08,77,12,0.1558
2008-09,37,10,0.2703
2008-10,102,21,0.2059
2008-11,192,39,0.2031
2008-12,230,40,0.1739
2009-01,252,41,0.1627
2009-02,267,41,0.1536
2009-03,286,41,0.1434
2009-04,299,49,0.1639
2009-05,328,51,0.1555
2009-06,371,58,0.1563
2009-07,385,58,0.1506
2009-08,418,50,0.1196
2009-09,458,66,0.1441
2009-10,558,100,0.1792
2009-11,616,97,0.1575
2009-12,607,71,0.117
2010-01,605,92,0.1521
2010-02,639,75,0.1174
2010-03,755,87,0.1152
2010-04,846,101,0.1194
2010-05,939,144,0.1534
2010-06,1059,196,0.1851
2010-07,1141,159,0.1394
2010-08,1102,172,0.1561
2010-09,1118,206,0.1843
2010-10,1161,189,0.1628
2010-11,1154,175,0.1516
2010-12,1287,161,0.1251
2011-01,1380,186,0.1348
2011-02,1298,169,0.1302
2011-03,1448,210,0.145
2011-04,1563,222,0.142
2011-05,1704,290,0.1702
2011-06,1835,271,0.1477
2011-07,1875,282,0.1504
2011-08,1934,271,0.1401
2011-09,2067,308,0.149
2011-10,2118,313,0.1478
2011-11,2232,344,0.1541
2011-12,2267,431,0.1901
2012-01,2602,440,0.1691
2012-02,2560,421,0.1645
2012-03,2914,443,0.152
2012-04,3230,496,0.1536
2012-05,3400,569,0.1674
2012-06,3817,714,0.1871
2012-07,4627,819,0.177
2012-08,5419,884,0.1631
2012-09,6087,951,0.1562
2012-10,6263,962,0.1536
2012-11,6382,1029,0.1612
2012-12,6066,916,0.151
2013-01,6872,1050,0.1528
2013-02,7561,1160,0.1534
2013-03,8273,1200,0.1451
2013-04,9419,1504,0.1597
2013-05,10350,1720,0.1662
2013-06,10899,1761,0.1616
2013-07,11910,1854,0.1557
2013-08,12674,1941,0.1531
2013-09,12987,2052,0.158
2013-10,14127,2217,0.1569
2013-11,14720,2266,0.1539
2013-12,15015,2302,0.1533
2014-01,15620,2483,0.159
2014-02,15219,2539,0.1668
2014-03,16210,2765,0.1706
2014-04,18196,3344,0.1838
2014-05,18119,3342,0.1844
2014-06,16213,3152,0.1944
2014-07,27594,5221,0.1892
2014-08,17759,3365,0.1895
2014-09,9974,1893,0.1898
2014-10,36139,7170,0.1984
2014-11,23007,4471,0.1943
2014-12,9387,1751,0.1865
2015-01,32292,6534,0.2023
2015-02,21705,4247,0.1957
2015-03,22996,4844,0.2106
2015-04,31880,6604,0.2072
2015-05,28792,5963,0.2071
2015-06,25540,5388,0.211
2015-07,41192,8439,0.2049
2015-08,31813,6451,0.2028
2015-09,25261,5291,0.2095
2015-10,43158,8360,0.1937
2015-11,33039,6671,0.2019
2015-12,39237,8371,0.2133
2016-01,28617,5682,0.1986
2016-02,34883,7018,0.2012
2016-03,49466,11123,0.2249
2016-04,24435,6504,0.2662
2016-05,18378,5009,0.2726
2016-06,21038,5344,0.254
2016-07,22111,6168,0.279
2016-08,22709,6273,0.2762
2016-09,17254,4548,0.2636
2016-10,19379,4678,0.2414
2016-11,19435,5049,0.2598
2016-12,19946,5402,0.2708
2017-01,16883,4208,0.2492
2017-02,13896,3555,0.2558
2017-03,17554,4447,0.2533
2017-04,13576,3591,0.2645
2017-05,16800,4515,0.2687
2017-06,15898,4267,0.2684
2017-07,15706,4348,0.2768
2017-08,16307,4365,0.2677
2017-09,14248,4192,0.2942
2017-10,12696,3419,0.2693
2017-11,12900,3320,0.2574
2017-12,10861,2946,0.2712
2018-01,9264,2338,0.2524
2018-02,7436,2000,0.269
2018-03,7982,2201,0.2757
2018-04,7792,2230,0.2862
2018-05,7515,2086,0.2776
2018-06,5622,1511,0.2688
2018-07,5015,1228,0.2449
2018-08,4160,906,0.2178
2018-09,2874,624,0.2171
2018-10,2565,500,0.1949
2018-11,1927,319,0.1655
2018-12,1387,152,0.1096
