issue_quarter,loan_count,default_count,default_rate
2007-Q2,4,3,0.75
2007-Q3,111,40,0.3604
2007-Q4,249,115,0.4618
2008-Q1,719,234,0.3255
2008-Q2,358,110,0.3073
2008-Q3,210,52,0.2476
2008-Q4,524,100,0.1908
2009-Q1,805,123,0.1528
2009-Q2,998,158,0.1583
2009-Q3,1261,174,0.138
2009-Q4,1781,268,0.1505
2010-Q1,1999,254,0.1271
2010-Q2,2844,441,0.1551
2010-Q3,3361,537,0.1598
2010-Q4,3602,525,0.1458
2011-Q1,4126,565,0.1369
2011-Q2,5102,783,0.1535
2011-Q3,5876,861,0.1465
2011-Q4,6617,1088,0.1644
2012-Q1,8076,1304,0.1615
2012-Q2,10447,1779,0.1703
2012-Q3,16133,2654,0.1645
2012-Q4,18711,2907,0.1554
2013-Q1,22706,3410,0.1502
2013-Q2,30668,4985,0.1625
2013-Q3,37571,5847,0.1556
2013-Q4,43862,6785,0.1547
2014-Q1,47049,7787,0.1655
2014-Q2,52528,9838,0.1873
2014-Q3,55327,10479,0.1894
2014-Q4,68533,13392,0.1954
2015-Q1,76993,15625,0.2029
2015-Q2,86212,17955,0.2083
2015-Q3,98266,20181,0.2054
2015-Q4,115434,23402,0.2027
2016-Q1,112966,23823,0.2109
2016-Q2,63851,16857,0.264
2016-Q3,62074,16989,0.2737
2016-Q4,58760,15129,0.2575
2017-Q1,48333,12210,0.2526
2017-Q2,46274,12373,0.2674
2017-Q3,46261,12905,0.279
2017-Q4,36457,9685,0.2657
2018-Q1,24682,6539,0.2649
2018-Q2,20929,5827,0.2784
2018-Q3,12049,2758,0.2289
2018-Q4,5879,971,0.1652
