state,loan_count,default_count,default_rate,state_name,ers_unemployment_rate_2023,ers_median_household_income_2022,ers_poverty_rate_2023
MS,6799,1929,0.2837,Mississippi,3.2,52788.0,18.3
NE,3680,997,0.2709,Nebraska,2.3,69828.0,10.2
AR,10229,2602,0.2544,Arkansas,3.3,55505.0,15.4
AL,16922,4235,0.2503,Alabama,2.5,59703.0,15.7
OK,12502,3104,0.2483,Oklahoma,3.2,59632.0,15.8
LA,15757,3851,0.2444,Louisiana,3.7,55458.0,18.9
NY,111954,26325,0.2351,New York,4.2,79463.0,14.1
NV,20568,4744,0.2306,Nevada,5.1,72348.0,12.2
FL,97522,22447,0.2302,Florida,2.9,69287.0,12.4
MD,31864,7291,0.2288,Maryland,2.1,94957.0,9.7
MO,21662,4929,0.2275,Missouri,3.0,64783.0,12.0
ND,1649,375,0.2274,North Dakota,1.9,73240.0,10.0
TN,20714,4693,0.2266,Tennessee,3.3,65231.0,13.8
IN,22063,4996,0.2264,Indiana,3.3,66768.0,12.2
NM,7479,1690,0.226,New Mexico,3.8,59842.0,16.9
NJ,49247,11031,0.224,New Jersey,4.4,96341.0,9.7
SD,2804,627,0.2236,South Dakota,2.0,70597.0,11.4
KY,13033,2888,0.2216,Kentucky,4.2,59246.0,16.1
PA,46271,10214,0.2207,Pennsylvania,3.4,71789.0,11.9
NC,38409,8478,0.2207,North Carolina,3.5,67516.0,12.8
OH,44406,9564,0.2154,Ohio,3.5,65786.0,13.2
MI,35793,7710,0.2154,Michigan,3.9,66926.0,13.5
HI,6866,1474,0.2147,Hawaii,3.0,93683.0,10.2
VA,38662,8208,0.2123,Virginia,2.9,85838.0,10.2
TX,112090,23759,0.212,Texas,3.9,72279.0,13.7
DE,3841,805,0.2096,Delaware,4.0,81933.0,10.8
MN,24331,5095,0.2094,Minnesota,2.8,82343.0,9.2
AK,3242,679,0.2094,Alaska,4.2,88072.0,10.5
ID,1734,363,0.2093,Idaho,3.1,72634.0,10.1
CA,199629,41641,0.2086,California,4.8,91517.0,12.0
AZ,33192,6915,0.2083,Arizona,3.9,74355.0,12.6
MA,31462,6387,0.203,Massachusetts,3.4,94538.0,10.5
WI,18088,3610,0.1996,Wisconsin,3.0,71050.0,10.6
GA,44085,8687,0.1971,Georgia,3.2,72742.0,13.7
IL,52431,10071,0.1921,Illinois,4.5,76744.0,11.6
RI,5963,1141,0.1913,Rhode Island,3.0,80873.0,11.4
CT,20067,3767,0.1877,Connecticut,3.8,88182.0,10.2
UT,10165,1841,0.1811,Utah,2.6,88531.0,9.0
MT,3868,690,0.1784,Montana,2.9,67915.0,11.8
KS,11383,2025,0.1779,Kansas,2.7,68827.0,11.2
WY,2958,526,0.1778,Wyoming,2.9,71275.0,10.4
SC,16234,2845,0.1752,South Carolina,3.0,64227.0,13.9
WA,29571,4982,0.1685,Washington,4.1,91255.0,10.3
CO,30032,4968,0.1654,Colorado,3.2,89096.0,9.4
WV,4920,799,0.1624,West Virginia,3.9,54097.0,16.4
NH,6553,1044,0.1593,New Hampshire,2.2,90750.0,7.3
OR,16607,2561,0.1542,Oregon,3.7,75638.0,12.1
ME,2064,315,0.1526,Maine,2.9,69485.0,10.5
VT,2686,404,0.1504,Vermont,2.0,74555.0,9.9
DC,3518,502,0.1427,District of Columbia,4.9,99897.0,15.2
