issue_year,loan_count,default_count,default_rate,avg_fed_funds_rate,avg_unemployment_rate,avg_cpi,cpi_inflation_rate
2007,364,158,0.4341,5.0192,4.6167,207.3442,2.8706
2008,1811,496,0.2739,1.9275,5.8,215.2542,3.815
2009,4845,723,0.1492,0.16,9.2833,214.5647,-0.3204
2010,11806,1757,0.1488,0.175,9.6083,218.0762,1.6366
2011,21721,3297,0.1518,0.1017,8.9333,224.923,3.1397
2012,53367,8644,0.162,0.14,8.075,229.5861,2.0732
2013,134807,21027,0.156,0.1075,7.3583,232.9517,1.466
2014,223437,41496,0.1857,0.0892,6.1583,236.715,1.6155
2015,376905,77163,0.2047,0.1325,5.275,237.0018,0.1211
2016,297651,72798,0.2446,0.395,4.875,240.0054,1.2674
2017,177325,47173,0.266,1.0017,4.3583,245.121,2.1314
2018,63539,16095,0.2533,1.8317,3.8917,251.0995,2.439
