column,missing_rate,missing_count
member_id,1.0,2260701
orig_projected_additional_accrued_interest,0.9962,2252050
hardship_type,0.9952,2249784
hardship_reason,0.9952,2249784
hardship_status,0.9952,2249784
deferral_term,0.9952,2249784
hardship_amount,0.9952,2249784
hardship_start_date,0.9952,2249784
hardship_end_date,0.9952,2249784
payment_plan_start_date,0.9952,2249784
hardship_length,0.9952,2249784
hardship_dpd,0.9952,2249784
hardship_loan_status,0.9952,2249784
hardship_payoff_balance_amount,0.9952,2249784
hardship_last_payment_amount,0.9952,2249784
debt_settlement_flag_date,0.9849,2226455
settlement_status,0.9849,2226455
settlement_date,0.9849,2226455
settlement_amount,0.9849,2226455
settlement_percentage,0.9849,2226455
settlement_term,0.9849,2226455
sec_app_mths_since_last_major_derog,0.9841,2224759
sec_app_revol_util,0.953,2154517
revol_bal_joint,0.9522,2152681
sec_app_fico_range_low,0.9522,2152680
sec_app_fico_range_high,0.9522,2152680
sec_app_earliest_cr_line,0.9522,2152680
sec_app_inq_last_6mths,0.9522,2152680
sec_app_mort_acc,0.9522,2152680
sec_app_open_acc,0.9522,2152680
sec_app_open_act_il,0.9522,2152680
sec_app_num_rev_accts,0.9522,2152680
sec_app_chargeoff_within_12_mths,0.9522,2152680
sec_app_collections_12_mths_ex_med,0.9522,2152680
verification_status_joint,0.9488,2144971
dti_joint,0.9466,2139995
annual_inc_joint,0.9466,2139991
desc,0.9442,2134634
mths_since_last_record,0.8411,1901545
mths_since_recent_bc_dlq,0.7701,1741000
