state,grade,loan_count,default_count,default_rate
CA,G,1279,640,0.5004
NC,F,1014,494,0.4872
OH,F,1068,516,0.4831
PA,F,1129,540,0.4783
TX,F,2603,1234,0.4741
NY,F,2792,1316,0.4713
FL,F,2278,1066,0.468
LA,E,1219,567,0.4651
IL,F,1172,545,0.465
GA,F,1168,541,0.4632
VA,F,1050,478,0.4552
CA,F,4720,2144,0.4542
NJ,F,1154,517,0.448
AL,E,1450,625,0.431
NV,E,1429,612,0.4283
MO,E,1486,636,0.428
WI,E,1134,482,0.425
MD,E,2418,1023,0.4231
NY,E,8079,3410,0.4221
NC,E,2902,1220,0.4204
IN,E,1648,688,0.4175
OH,E,3157,1304,0.4131
FL,E,6804,2799,0.4114
PA,E,3375,1381,0.4092
TX,E,7445,3043,0.4087
VA,E,2882,1178,0.4087
MN,E,1600,650,0.4062
TN,E,1616,655,0.4053
NJ,E,3427,1388,0.405
MI,E,2559,1024,0.4002
CA,E,13459,5256,0.3905
IL,E,3446,1336,0.3877
MA,E,1974,765,0.3875
GA,E,3212,1244,0.3873
MS,D,1130,432,0.3823
OK,D,1957,738,0.3771
AZ,E,2243,844,0.3763
AR,D,1659,616,0.3713
AL,D,2823,1040,0.3684
MO,D,3276,1163,0.355
CT,E,1396,493,0.3532
SC,E,1170,413,0.353
LA,D,2465,859,0.3485
NY,D,17583,6092,0.3465
MD,D,4868,1676,0.3443
IN,D,3350,1146,0.3421
KY,D,2024,687,0.3394
TN,D,3324,1123,0.3378
FL,D,15065,5048,0.3351
NV,D,3256,1077,0.3308
AZ,D,4751,1570,0.3305
OH,D,6667,2201,0.3301
NJ,D,7269,2382,0.3277
PA,D,7136,2337,0.3275
MI,D,5526,1806,0.3268
NC,D,5898,1927,0.3267
VA,D,5716,1855,0.3245
NM,D,1180,382,0.3237
MA,D,4234,1370,0.3236
TX,D,16694,5367,0.3215
MN,D,3588,1145,0.3191
OR,E,1069,340,0.3181
CO,E,1964,616,0.3136
CA,D,29210,9137,0.3128
WI,D,2520,785,0.3115
WA,E,2080,648,0.3115
GA,D,6638,2023,0.3048
MS,C,2014,610,0.3029
HI,D,1217,368,0.3024
IL,D,7584,2214,0.2919
UT,D,1521,442,0.2906
NE,C,1161,335,0.2885
CT,D,2934,846,0.2883
OK,C,3724,1029,0.2763
CO,D,4288,1163,0.2712
SC,D,2582,693,0.2684
LA,C,4391,1176,0.2678
AR,C,2976,796,0.2675
KS,D,1630,433,0.2656
AL,C,4923,1296,0.2633
NY,C,31977,8410,0.263
NJ,C,13656,3574,0.2617
WA,D,4439,1149,0.2588
FL,C,28312,7325,0.2587
NV,C,5975,1542,0.2581
MD,C,9087,2314,0.2546
MO,C,6346,1608,0.2534
TN,C,6093,1518,0.2491
MA,C,8299,2057,0.2479
PA,C,13494,3338,0.2474
OH,C,12737,3115,0.2446
IN,C,6645,1625,0.2445
MI,C,10333,2522,0.2441
NM,C,2105,512,0.2432
VA,C,10746,2611,0.243
KY,C,3829,921,0.2405
TX,C,31715,7621,0.2403
MN,C,6893,1655,0.2401
NC,C,10966,2631,0.2399
CA,C,56218,13465,0.2395
AZ,C,9465,2264,0.2392
OR,D,2482,589,0.2373
WI,C,5165,1206,0.2335
HI,C,1915,430,0.2245
DE,C,1101,245,0.2225
CT,C,5665,1249,0.2205
RI,C,1714,373,0.2176
IL,C,14704,3184,0.2165
GA,C,12553,2704,0.2154
KS,C,3186,655,0.2056
MS,B,1796,346,0.1927
NE,B,1013,192,0.1895
CO,C,8418,1593,0.1892
MT,C,1074,202,0.1881
UT,C,2945,553,0.1878
SC,C,4610,863,0.1872
AR,B,2897,542,0.1871
WV,C,1337,248,0.1855
NH,C,1796,332,0.1849
WA,C,8587,1579,0.1839
OR,C,4638,828,0.1785
LA,B,4438,757,0.1706
AL,B,4697,775,0.165
FL,B,28651,4641,0.162
NY,B,32141,5200,0.1618
NV,B,6182,994,0.1608
MO,B,6190,992,0.1603
OK,B,3529,562,0.1593
NJ,B,14485,2303,0.159
NM,B,2194,335,0.1527
MD,B,9032,1368,0.1515
IN,B,6280,949,0.1511
TN,B,5685,848,0.1492
PA,B,13240,1936,0.1462
CA,B,59320,8660,0.146
TX,B,32933,4787,0.1454
NC,B,10919,1577,0.1444
MA,B,9358,1343,0.1435
KY,B,3666,521,0.1421
MN,B,7107,1009,0.142
AZ,B,9869,1397,0.1416
OH,B,13047,1834,0.1406
MI,B,10510,1477,0.1405
DE,B,1079,149,0.1381
VA,B,10899,1499,0.1375
IL,B,15588,2037,0.1307
HI,B,1890,244,0.1291
CT,B,5872,754,0.1284
RI,B,1756,221,0.1259
GA,B,12532,1569,0.1252
WI,B,5401,674,0.1248
MT,B,1136,140,0.1232
UT,B,2930,348,0.1188
KS,B,3367,393,0.1167
WA,B,8515,988,0.116
CO,B,8737,1000,0.1145
SC,B,4539,506,0.1115
NH,B,1937,214,0.1105
OR,B,4946,521,0.1053
WV,B,1374,139,0.1012
MS,A,1005,98,0.0975
DC,B,1021,98,0.096
NM,A,1264,112,0.0886
OK,A,1983,168,0.0847
AR,A,1585,124,0.0782
AL,A,2423,189,0.078
NY,A,18534,1437,0.0775
NV,A,3110,237,0.0762
FL,A,15732,1191,0.0757
NJ,A,8916,675,0.0757
LA,A,2727,202,0.0741
NC,A,6422,459,0.0715
AZ,A,5942,416,0.07
KY,A,2162,150,0.0694
IN,A,3449,237,0.0687
MD,A,5376,364,0.0677
PA,A,7621,513,0.0673
TX,A,19936,1338,0.0671
MN,A,4410,293,0.0664
CA,A,35423,2339,0.066
MI,A,5768,370,0.0641
VA,A,7086,447,0.0631
MA,A,6710,422,0.0629
MO,A,3732,231,0.0619
RI,A,1060,65,0.0613
WI,A,3345,198,0.0592
OH,A,7440,439,0.059
IL,A,9581,564,0.0589
TN,A,3317,191,0.0576
GA,A,7643,430,0.0563
CT,A,3630,190,0.0523
WA,A,5002,247,0.0494
KS,A,2055,100,0.0487
UT,A,1728,83,0.048
NH,A,1318,63,0.0478
SC,A,2791,132,0.0473
CO,A,5723,262,0.0458
OR,A,3025,138,0.0456
